Age,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,OutstandingPerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department:HumanResources,Department:ResearchAndDevelopment,Department:Sales,EducationField:HumanResources,EducationField:LifeSciences,EducationField:Marketing,EducationField:Medical,EducationField:Other,EducationField:TechnicalDegree,JobRole:HealthcareRepresentative,JobRole:HumanResources,JobRole:LaboratoryTechnician,JobRole:Manager,JobRole:ManufacturingDirector,JobRole:ResearchDirector,JobRole:ResearchScientist,JobRole:SalesExecutive,JobRole:SalesRepresentative,MaritalStatus:Divorced,MaritalStatus:Married,MaritalStatus:Single,Attrition
41,1,1,2,2,1,3,2,4,5993,8,1,11,0,1,0,8,0,1,6,4,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
49,2,8,1,3,0,2,2,2,5130,1,0,23,1,4,1,10,3,3,10,7,1,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
37,1,2,2,4,0,2,1,3,2090,6,1,15,0,2,0,7,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
33,2,3,4,4,1,3,1,3,2909,1,1,11,0,3,0,8,3,3,8,7,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
27,1,2,1,1,0,3,1,2,3468,9,0,12,0,4,1,6,3,3,2,2,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32,2,2,2,4,0,3,1,4,3068,0,0,13,0,3,0,8,2,2,7,7,3,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
59,1,3,3,3,1,4,1,1,2670,4,1,20,1,1,3,12,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
30,1,24,1,4,0,3,1,3,2693,1,0,22,1,2,1,1,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
38,2,23,3,4,0,2,3,3,9526,0,0,21,1,2,0,10,2,3,9,7,1,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,1,27,3,3,0,3,2,3,5237,6,0,13,0,2,2,17,3,2,7,7,7,7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35,1,16,3,1,0,4,1,2,2426,0,0,13,0,3,1,6,5,3,5,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
29,1,15,2,4,1,2,2,3,4193,0,1,12,0,4,0,10,3,3,9,5,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31,1,26,1,1,0,3,1,3,2911,1,0,17,0,4,1,5,1,2,5,2,4,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,1,19,2,2,0,3,1,4,2661,0,0,11,0,3,1,3,2,3,2,2,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28,1,24,3,3,0,2,1,3,2028,5,1,14,0,2,0,6,4,3,4,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
29,1,21,4,2,1,4,3,1,9980,1,0,11,0,3,1,10,1,3,10,9,8,8,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,1,5,2,1,0,4,1,2,3298,0,1,12,0,4,2,7,5,2,6,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
22,0,16,2,4,0,4,1,4,2935,1,1,13,0,2,2,1,2,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
53,1,2,4,1,1,2,4,4,15427,2,0,16,0,3,0,31,3,3,25,8,3,7,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38,1,2,3,4,0,3,1,4,3944,5,1,11,0,3,0,6,3,3,3,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24,0,11,2,1,1,4,2,3,4011,0,0,18,0,4,1,5,5,2,4,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36,1,9,4,3,0,2,1,1,3407,7,0,23,1,2,0,10,4,3,5,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
34,1,7,4,1,1,3,3,2,11994,0,0,11,0,3,0,13,4,3,12,6,2,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21,1,15,2,3,0,3,1,4,1232,1,0,14,0,4,0,0,6,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
34,1,6,1,2,0,3,1,1,2960,2,0,11,0,3,0,8,2,3,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
53,1,5,3,3,1,3,5,3,19094,4,0,11,0,4,1,26,3,2,14,13,4,8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
32,2,16,1,2,1,1,1,1,3919,1,1,22,1,2,0,10,5,3,10,2,6,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
42,1,8,4,3,0,3,2,2,6825,0,0,11,0,4,1,10,2,3,9,7,4,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
44,1,7,4,1,1,2,3,4,10248,3,0,14,0,4,1,24,4,3,22,6,5,17,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46,1,2,4,2,1,3,5,1,18947,3,0,12,0,4,0,22,2,2,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,1,2,3,3,0,3,1,4,2496,4,0,11,0,4,0,7,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
44,1,10,4,4,0,3,2,4,6465,2,1,13,0,4,0,9,5,4,4,2,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30,1,9,2,4,0,2,1,3,2206,1,0,13,0,1,0,10,5,3,10,0,1,8,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,1,5,3,4,0,3,2,4,2086,3,0,14,0,3,1,19,6,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
24,1,1,3,2,0,3,1,4,2293,2,1,16,0,1,1,6,2,2,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
43,1,2,2,4,1,4,1,3,2645,1,0,12,0,4,2,6,3,2,5,3,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
50,1,3,2,1,0,2,1,3,2683,1,1,14,0,3,0,3,2,3,3,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
35,1,2,3,4,1,3,1,4,2014,1,0,13,0,1,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
36,1,5,4,2,1,2,1,1,3419,9,1,14,0,4,1,6,3,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
