Iteration,obj,obj_bound,cost,loss,comp,time
1,0.5605896888271102,0.5605896888271102,0.09366953673585553,0.36692015209125484,5.0,6.498506298987195
2,0.5793727713671035,0.5605896888271102,0.09625490064467007,0.3631178707224335,6.0,7.755051302025095
3,0.5593727713671035,0.5593727713671035,0.09625490064467007,0.3631178707224335,5.0,8.484978441963904
4,0.5571486240751159,0.5571486240751159,0.09403075335268239,0.3631178707224335,5.0,9.86475366295781
5,0.577127500299048,0.5571486240751159,0.09400962957661455,0.3631178707224335,6.0,10.954995212960057
6,0.591785294862643,0.5571486240751159,0.0943708461934414,0.3574144486692016,7.0,12.552723541040905
7,1.065064259827548,0.5571486240751159,0.012516731310437653,0.9125475285171103,7.0,19.25473168003373
8,1.085064259827548,0.5571486240751159,0.012516731310437653,0.9125475285171103,8.0,23.641879878938198
9,1.101666628256803,0.5571486240751159,0.01292138110851391,0.908745247148289,9.0,25.422754499013536
10,1.085064259827548,0.5571486240751159,0.012516731310437653,0.9125475285171103,8.0,26.358738915994763
11,1.085064259827548,0.5571486240751159,0.012516731310437653,0.9125475285171103,8.0,26.789954151958227
12,1.0104064520586047,0.5571486240751159,0.056642193503471536,0.7737642585551331,9.0,31.47475003497675
13,0.9945319115026364,0.5571486240751159,0.04282088488666686,0.8517110266159695,5.0,39.485668967012316
14,0.9781051816236189,0.5571486240751159,0.05019643637647066,0.8479087452471483,4.0,43.503049865947105
15,0.9980608216992141,0.5571486240751159,0.05015207645206575,0.8479087452471483,5.0,44.82316118699964
16,1.0470975810080931,0.5571486240751159,0.03645119317539342,0.9106463878326996,5.0,49.921438739984296
17,1.0447280742268414,0.5571486240751159,0.03788396776296301,0.9068441064638784,5.0,51.95022587303538
18,1.0508259291695727,0.5571486240751159,0.03637725996805191,0.9144486692015209,5.0,53.51315462193452
19,1.027141940932498,0.5571486240751159,0.03649555309979833,0.9106463878326996,4.0,54.222521072020754
20,1.0804013517635724,0.5571486240751159,0.0004013517635723967,1.0,4.0,60.344730005948804
21,1.0499978870660394,0.5571486240751159,0.0014047311725033883,0.9885931558935361,3.0,64.92675841797609
22,1.0499978870660394,0.5571486240751159,0.0014047311725033883,0.9885931558935361,3.0,70.09104334597941
23,1.0699683137831029,0.5571486240751159,0.0013751578895667823,0.9885931558935361,4.0,71.39295889798086
24,0.9887571716396658,0.5571486240751159,0.010430175441947308,0.8783269961977186,5.0,75.05725383199751
25,1.008757171639666,0.5571486240751159,0.010430175441947308,0.8783269961977186,6.0,77.9969659029739
