iteration,gamma,cost,loss,obj
0,0.1,0.0,1.0,0.1
0,0.2,0.05258761454126927,0.7,0.19258761454126927
0,0.3,0.1340106602574737,0.4,0.25401066025747376
0,0.4,0.1340106602574737,0.4,0.29401066025747374
0,0.5,0.1340106602574737,0.4,0.3340106602574737
0,0.6,0.1340106602574737,0.4,0.3740106602574737
0,0.7,0.1340106602574737,0.4,0.4140106602574737
0,0.8,0.1340106602574737,0.4,0.4540106602574737
0,0.9,0.21807181176175078,0.3,0.48807181176175085
0,1.0,0.21807181176175078,0.3,0.5180718117617508
1,0.1,0.0,1.0,0.1
1,0.2,0.0,1.0,0.2
1,0.3,0.2640934922123622,0.0,0.2640934922123622
1,0.4,0.2640934922123622,0.0,0.2640934922123622
1,0.5,0.2640934922123622,0.0,0.2640934922123622
1,0.6,0.2640934922123622,0.0,0.2640934922123622
1,0.7,0.2640934922123622,0.0,0.2640934922123622
1,0.8,0.2640934922123622,0.0,0.2640934922123622
1,0.9,0.2640934922123622,0.0,0.2640934922123622
1,1.0,0.2640934922123622,0.0,0.2640934922123622
2,0.1,0.0,1.0,0.1
2,0.2,0.05258761454126927,0.7,0.19258761454126927
2,0.3,0.1340106602574737,0.4,0.25401066025747376
2,0.4,0.1340106602574737,0.4,0.29401066025747374
2,0.5,0.1340106602574737,0.4,0.3340106602574737
2,0.6,0.1340106602574737,0.4,0.3740106602574737
2,0.7,0.1340106602574737,0.4,0.4140106602574737
2,0.8,0.1340106602574737,0.4,0.4540106602574737
2,0.9,0.21807181176175078,0.3,0.48807181176175085
2,1.0,0.21807181176175078,0.3,0.5180718117617508
3,0.1,0.0,1.0,0.1
3,0.2,0.0,1.0,0.2
3,0.3,0.19258654957106536,0.2,0.25258654957106536
3,0.4,0.19258654957106536,0.2,0.2725865495710654
3,0.5,0.19258654957106536,0.2,0.2925865495710654
3,0.6,0.2943853256586194,0.0,0.2943853256586194
3,0.7,0.2943853256586194,0.0,0.2943853256586194
3,0.8,0.2943853256586194,0.0,0.2943853256586194
3,0.9,0.2943853256586194,0.0,0.2943853256586194
3,1.0,0.2943853256586194,0.0,0.2943853256586194
4,0.1,0.0,1.0,0.1
4,0.2,0.05258761454126927,0.7,0.19258761454126927
4,0.3,0.1340106602574737,0.4,0.25401066025747376
4,0.4,0.1340106602574737,0.4,0.29401066025747374
4,0.5,0.1340106602574737,0.4,0.3340106602574737
4,0.6,0.1340106602574737,0.4,0.3740106602574737
4,0.7,0.1340106602574737,0.4,0.4140106602574737
4,0.8,0.1340106602574737,0.4,0.4540106602574737
4,0.9,0.21807181176175078,0.3,0.48807181176175085
4,1.0,0.21807181176175078,0.3,0.5180718117617508
5,0.1,0.0,1.0,0.1
5,0.2,0.05358219576843748,0.7,0.1935821957684375
5,0.3,0.05358219576843748,0.7,0.2635821957684375
5,0.4,0.05358219576843748,0.7,0.3335821957684375
5,0.5,0.14405256770546218,0.5,0.39405256770546215
5,0.6,0.14405256770546218,0.5,0.44405256770546214
5,0.7,0.14405256770546218,0.5,0.49405256770546213
5,0.8,0.5312332014060281,0.0,0.5312332014060281
5,0.9,0.5312332014060281,0.0,0.5312332014060281
5,1.0,0.5312332014060281,0.0,0.5312332014060281
6,0.1,0.0,1.0,0.1
6,0.2,0.0,1.0,0.2
6,0.3,0.24612318992390217,0.0,0.24612318992390217
6,0.4,0.24612318992390203,0.0,0.24612318992390203
6,0.5,0.24612318992390217,0.0,0.24612318992390217
6,0.6,0.24612318992390217,0.0,0.24612318992390217
6,0.7,0.24612318992390217,0.0,0.24612318992390217
6,0.8,0.24612318992390217,0.0,0.24612318992390217
6,0.9,0.24612318992390217,0.0,0.24612318992390217
6,1.0,0.24612318992390217,0.0,0.24612318992390217
7,0.1,0.0,1.0,0.1
7,0.2,0.05358219576843748,0.7,0.1935821957684375
7,0.3,0.05358219576843748,0.7,0.2635821957684375
7,0.4,0.05358219576843748,0.7,0.3335821957684375
7,0.5,0.14405256770546218,0.5,0.39405256770546215
7,0.6,0.1440525675054622,0.5,0.4440525675054622
7,0.7,0.14405256770546218,0.5,0.49405256770546213
7,0.8,0.5312332011060193,0.0,0.5312332011060193
7,0.9,0.5312332014060281,0.0,0.5312332014060281
7,1.0,0.5312332014060281,0.0,0.5312332014060281
8,0.1,0.0,1.0,0.1
8,0.2,0.057260914422554286,0.7,0.19726091442255428
8,0.3,0.057260914422554286,0.7,0.2672609144225543
8,0.4,0.13687145354378147,0.5,0.33687145354378145
8,0.5,0.22166769290755522,0.3,0.3716676929075552
8,0.6,0.22166769290755522,0.3,0.4016676929075552
8,0.7,0.22166769290755522,0.3,0.4316676929075552
8,0.8,0.22166769290755522,0.3,0.46166769290755527
8,0.9,0.22166769290755522,0.3,0.49166769290755524
8,1.0,0.49426643330715303,0.0,0.49426643330715303
9,0.1,0.0,1.0,0.1
9,0.2,0.0,1.0,0.2
9,0.3,0.2640934922123622,0.0,0.2640934922123622
9,0.4,0.2640934922123622,0.0,0.2640934922123622
9,0.5,0.2640934922123622,0.0,0.2640934922123622
9,0.6,0.2640934922123622,0.0,0.2640934922123622
9,0.7,0.2640934922123622,0.0,0.2640934922123622
9,0.8,0.2640934922123622,0.0,0.2640934922123622
9,0.9,0.2640934922123622,0.0,0.2640934922123622
9,1.0,0.2640934922123622,0.0,0.2640934922123622
10,0.1,0.0,1.0,0.1
10,0.2,0.0,1.0,0.2
10,0.3,0.19258654957106536,0.2,0.25258654957106536
10,0.4,0.19258654957106536,0.2,0.2725865495710654
10,0.5,0.19258654957106536,0.2,0.2925865495710654
10,0.6,0.2943853256586194,0.0,0.2943853256586194
10,0.7,0.2943853256586194,0.0,0.2943853256586194
10,0.8,0.2943853256586194,0.0,0.2943853256586194
10,0.9,0.2943853256586194,0.0,0.2943853256586194
10,1.0,0.2943853256586194,0.0,0.2943853256586194
11,0.1,0.0,1.0,0.1
11,0.2,0.0,1.0,0.2
11,0.3,0.053107716413317664,0.8,0.2931077164133177
11,0.4,0.28925048231943074,0.1,0.32925048231943077
11,0.5,0.28925048231943074,0.1,0.3392504823194308
11,0.6,0.28925048231943074,0.1,0.3492504823194308
11,0.7,0.28925048221942434,0.1,0.35925048221942435
11,0.8,0.28925048231943074,0.1,0.3692504823194308
11,0.9,0.28925048231943074,0.1,0.37925048231943076
11,1.0,0.28925048231943074,0.1,0.38925048231943077
12,0.1,0.0,1.0,0.1
12,0.2,0.05258761454126927,0.7,0.19258761454126927
12,0.3,0.1340106602574737,0.4,0.25401066025747376
12,0.4,0.1340106602574737,0.4,0.29401066025747374
12,0.5,0.1340106602574737,0.4,0.3340106602574737
12,0.6,0.1340106602574737,0.4,0.3740106602574737
12,0.7,0.1340106602574737,0.4,0.4140106602574737
12,0.8,0.1340106602574737,0.4,0.4540106602574737
12,0.9,0.21807181176175078,0.3,0.48807181176175085
12,1.0,0.21807181176175078,0.3,0.5180718117617508
13,0.1,0.0,1.0,0.1
13,0.2,0.05258761454126927,0.7,0.19258761454126927
13,0.3,0.1340106602574737,0.4,0.25401066025747376
13,0.4,0.1340106602574737,0.4,0.29401066025747374
13,0.5,0.1340106602574737,0.4,0.3340106602574737
13,0.6,0.1340106602574737,0.4,0.3740106602574737
13,0.7,0.1340106602574737,0.4,0.4140106602574737
13,0.8,0.1340106602574737,0.4,0.4540106602574737
13,0.9,0.21807181176175078,0.3,0.48807181176175085
13,1.0,0.21807181176175078,0.3,0.5180718117617508
14,0.1,0.0,1.0,0.1
14,0.2,0.05258761454126927,0.7,0.19258761454126927
14,0.3,0.1340106602574737,0.4,0.25401066025747376
14,0.4,0.1340106602574737,0.4,0.29401066025747374
14,0.5,0.1340106602574737,0.4,0.3340106602574737
14,0.6,0.1340106602574737,0.4,0.3740106602574737
14,0.7,0.1340106602574737,0.4,0.4140106602574737
14,0.8,0.1340106602574737,0.4,0.4540106602574737
14,0.9,0.21807181176175078,0.3,0.48807181176175085
14,1.0,0.21807181176175078,0.3,0.5180718117617508
15,0.1,0.0,1.0,0.1
15,0.2,0.05358219576843748,0.7,0.1935821957684375
15,0.3,0.05358219576843748,0.7,0.2635821957684375
15,0.4,0.05358219576843748,0.7,0.3335821957684375
15,0.5,0.14405256770546218,0.5,0.39405256770546215
15,0.6,0.14405256770546218,0.5,0.44405256770546214
15,0.7,0.14405256770546218,0.5,0.49405256770546213
15,0.8,0.5312332014060281,0.0,0.5312332014060281
15,0.9,0.5312332014060281,0.0,0.5312332014060281
15,1.0,0.5312332014060281,0.0,0.5312332014060281
16,0.1,0.0,1.0,0.1
16,0.2,0.05358219576843748,0.7,0.1935821957684375
16,0.3,0.05358219576843748,0.7,0.2635821957684375
16,0.4,0.05358219576843748,0.7,0.3335821957684375
16,0.5,0.1440525677054622,0.5,0.3940525677054622
16,0.6,0.1440525677054622,0.5,0.4440525677054622
16,0.7,0.1440525677054622,0.5,0.49405256770546224
16,0.8,0.5312332014060281,0.0,0.5312332014060281
16,0.9,0.5312332014060281,0.0,0.5312332014060281
16,1.0,0.5312332014060281,0.0,0.5312332014060281
17,0.1,0.0,1.0,0.1
17,0.2,0.05258761454126927,0.7,0.19258761454126927
17,0.3,0.1340106602574737,0.4,0.25401066025747376
17,0.4,0.1340106602574737,0.4,0.29401066025747374
17,0.5,0.1340106602574737,0.4,0.3340106602574737
17,0.6,0.1340106602574737,0.4,0.3740106602574737
17,0.7,0.1340106602574737,0.4,0.4140106602574737
17,0.8,0.1340106602574737,0.4,0.4540106602574737
17,0.9,0.21807181176175078,0.3,0.48807181176175085
17,1.0,0.21807181176175078,0.3,0.5180718117617508
18,0.1,0.0,1.0,0.1
18,0.2,0.0,1.0,0.2
18,0.3,0.19258654957106536,0.2,0.25258654957106536
18,0.4,0.19258654957106536,0.2,0.2725865495710654
18,0.5,0.19258654957106536,0.2,0.2925865495710654
18,0.6,0.2943853256586194,0.0,0.2943853256586194
18,0.7,0.2943853256586194,0.0,0.2943853256586194
18,0.8,0.2943853256586194,0.0,0.2943853256586194
18,0.9,0.2943853256586194,0.0,0.2943853256586194
18,1.0,0.2943853256586194,0.0,0.2943853256586194
19,0.1,0.0,1.0,0.1
19,0.2,0.0,1.0,0.2
19,0.3,0.2640934922123622,0.0,0.2640934922123622
19,0.4,0.2640934922123622,0.0,0.2640934922123622
19,0.5,0.2640934922123622,0.0,0.2640934922123622
19,0.6,0.2640934922123622,0.0,0.2640934922123622
19,0.7,0.2640934922123622,0.0,0.2640934922123622
19,0.8,0.2640934922123622,0.0,0.2640934922123622
19,0.9,0.2640934922123622,0.0,0.2640934922123622
19,1.0,0.2640934922123622,0.0,0.2640934922123622
20,0.1,0.0,1.0,0.1
20,0.2,0.05258761454126927,0.7,0.19258761454126927
20,0.3,0.1340106602574737,0.4,0.25401066025747376
20,0.4,0.1340106602574737,0.4,0.29401066025747374
20,0.5,0.1340106602574737,0.4,0.3340106602574737
20,0.6,0.1340106602574737,0.4,0.3740106602574737
20,0.7,0.1340106602574737,0.4,0.4140106602574737
20,0.8,0.1340106602574737,0.4,0.4540106602574737
20,0.9,0.21807181176175078,0.3,0.48807181176175085
20,1.0,0.21807181176175078,0.3,0.5180718117617508
21,0.1,0.0,1.0,0.1
21,0.2,0.0,1.0,0.2
21,0.3,0.24612318992390217,0.0,0.24612318992390217
21,0.4,0.24612318992390217,0.0,0.24612318992390217
21,0.5,0.24612318992390217,0.0,0.24612318992390217
21,0.6,0.24612318992390217,0.0,0.24612318992390217
21,0.7,0.24612318992390217,0.0,0.24612318992390217
21,0.8,0.24612318992390217,0.0,0.24612318992390217
